id,source,date,rating,text,discovery_related,theme,desired_behavior,repetition_cause,behavior_segment,primary_discovery_surface,tier,unmet_need,sentiment,evidence_phrase
1,app_store_us,2026-06-25T10:56:48-07:00,5,Love. Love Spotify especially the DJ feature!,true,other_discovery,none_stated,not_applicable,unclear,ai_dj,unclear,none,positive,especially the DJ feature
2,play_store_in,2026-06-25 01:06:30,5,best for me and my music,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,none
3,play_store_in,2026-06-24 12:13:26,1,New update makes app crash constantly. I'm paying for a family plan that none of us can use anymore. We should be refunded until it is fixed.,false,not_discovery,none_stated,not_applicable,unclear,none,premium,none,negative,app crash constantly
4,play_store_in,2026-06-25 21:44:53,1,I can play any of my songs,false,not_discovery,none_stated,not_applicable,familiarity_anchored,none,unclear,none,positive,play any of my songs
5,play_store_in,2026-06-26 08:48:16,4,fine,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,neutral,none
6,play_store_in,2026-06-26 09:58:04,3,"too many ads on non. stupid ad whej you open the app offemsive ads cant clear any listen history on the home page best option for music, but it is overall gone downhill",false,not_discovery,none_stated,not_applicable,unclear,none,free,none,negative,too many ads
7,play_store_in,2026-06-26 01:04:37,5,"I can look up just about any song I want to listen to and it will be there, very easily. I love country rap and good old classic rock and roll. I won the perfect alblumside 5 times in a roll with 96 rock back in the 90s. I really enjoy living listening to my music.",false,not_discovery,none_stated,not_applicable,familiarity_anchored,none,unclear,none,positive,look up just about any song
8,play_store_in,2026-06-26 06:29:34,1,trash,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,negative,none
9,play_store_in,2026-06-26 00:30:14,5,Spotify premium is awesome! especially since they added video!,false,not_discovery,none_stated,not_applicable,unclear,none,premium,none,positive,Spotify premium is awesome
10,play_store_in,2026-06-25 16:53:07,1,very bad app too many adds I don't like it ðŸ˜•,false,not_discovery,none_stated,not_applicable,unclear,none,free,none,negative,too many adds
11,play_store_in,2026-06-24 16:40:55,5,I love spotify,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,none
12,app_store_us,2026-06-25T09:49:08-07:00,5,I love it here!!,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,none
13,play_store_in,2026-06-25 18:54:27,5,thanks liked it very much....,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,none
14,play_store_in,2026-06-25 19:51:19,5,Fantastic !!!,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,none
15,app_store_us,2026-06-26T00:00:28-07:00,5,Prefect,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,none
16,app_store_in,2026-06-16T08:26:00-07:00,1,Political involvement ads,false,not_discovery,none_stated,not_applicable,unclear,none,free,none,negative,Political involvement ads
17,play_store_in,2026-06-26 09:13:01,5,free use daily,false,not_discovery,none_stated,not_applicable,unclear,none,free,none,neutral,free use daily
18,play_store_in,2026-06-25 08:04:48,5,you always now Spotify is the best,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,none
19,play_store_in,2026-06-24 14:36:24,1,"y'all really added a profile update that literally breaks your entire app if you were in offline mode when the update dropped. who tf actually said ""yeah ship this one"" fix this already ffs edit: Spotify suggested signing out, restarting my phone and Internet (?), and signing back in, which I cant do because I cant even get past the profile screen, and which has nothing to do with my phone or Internet. Yall pushed an update that requires profiles to be online so any in offline are broken. FIX IT",false,not_discovery,none_stated,not_applicable,unclear,none,premium,none,negative,breaks your entire app
20,app_store_in,2026-06-24T00:15:28-07:00,5,Nice sound,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,none
